"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,Navigation,"Profile visits","Link clicks","Sticker taps"
18507333883059489,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,3,"06/01/2025 07:06",https://instagram.com/stories/hamletisntdead/3645410084331920033,"IG story",,Lifetime,65,52,2,0,0,60,,,
18044289881618661,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,0,"06/01/2025 07:04",https://instagram.com/stories/hamletisntdead/3645409450505445494,"IG story",,Lifetime,69,57,2,0,0,74,1,,
18059190584336214,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Thanks for hanging today. 
Xoxo 
see you tomorrow for the show
 or we fight",10,"05/31/2025 20:26",https://instagram.com/stories/hamletisntdead/3645088244321113924,"IG story",,Lifetime,75,65,3,0,0,72,,,
18020449538649620,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Thanks for all the questions! It was just an ask me anything and not an answer anything tho ✨💕 If you’re mad about it, come see Cymbeline’s closing performance tomorrow and tell me about it",15,"05/31/2025 20:13",https://instagram.com/stories/hamletisntdead/3645081855095915322,"IG story",,Lifetime,75,67,4,0,1,78,,,
17931261701935422,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Idk bestie I’ve never seen the show",0,"05/31/2025 15:53",https://instagram.com/stories/hamletisntdead/3644950526681837908,"IG story",,Lifetime,81,67,3,0,0,86,,,
17966434670767995,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,19,"05/31/2025 14:12",https://instagram.com/stories/hamletisntdead/3644899973507485361,"IG story",,Lifetime,85,69,4,0,0,70,,,
18006020534769804,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Excellent question, it’s because of the insane amount of blackmail I have",15,"05/31/2025 10:39",https://instagram.com/stories/hamletisntdead/3644792953776953127,"IG story",,Lifetime,94,69,4,0,0,109,,,
17851667283463581,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Getting ready for the first of two shows get ur tickets and",0,"05/31/2025 10:15",https://instagram.com/stories/hamletisntdead/3644780594564085609,"IG story",,Lifetime,93,69,2,0,0,93,,,
18032642654668738,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,60,"05/31/2025 09:07",https://instagram.com/stories/hamletisntdead/3644746612321175937,"IG story",,Lifetime,89,69,5,0,0,91,,,
18094213954597618,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Let’s get ready for a two day show y’all",14,"05/31/2025 07:29",https://instagram.com/stories/hamletisntdead/3644697117831028622,"IG story",,Lifetime,88,68,6,0,2,93,2,,
17870013780280172,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","This account is legally mine for 24 hours @toomuch_tori",10,"05/30/2025 21:03",https://instagram.com/stories/hamletisntdead/3644382029668602310,"IG story",,Lifetime,83,66,5,0,0,76,,,
17928109833060895,17841400539558029,hamletisntdead,"Hamlet Isn't Dead",,38,"05/30/2025 21:02",https://instagram.com/stories/hamletisntdead/3644381510120197972,"IG story",,Lifetime,88,69,3,0,0,95,,,
18065880035099742,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","4 more chances to see... whatever this is",7,"05/30/2025 09:33",https://instagram.com/stories/hamletisntdead/3644034881706197838,"IG story",,Lifetime,57,50,4,0,1,55,,,
18504091828058701,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","#tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",15,"05/30/2025 07:32",,"IG story",,Lifetime,52,48,0,0,0,58,,,
17854674672394338,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","Just actors yknow in between scenes 🙂‍↕️ #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike @ladymaudlin @the_temporary_synesthetic  Okay now I’m done, see yall tmmrw 🫶🏾",15,"05/29/2025 19:24",https://instagram.com/stories/hamletisntdead/3643601044954024726,"IG story",,Lifetime,50,44,3,0,0,48,,,
18068955466977276,17841400539558029,hamletisntdead,"Hamlet Isn't Dead","@ladymaudlin @luigiscoolerbro  #tagstagram #love #instagood #photooftheday #fashion #beauty #happy #cute #like4like #picoftheday #follow #me #selfie #art #instadaily #friends #fun #like #igers #instalike",49,"05/29/2025 18:54",https://instagram.com/stories/hamletisntdead/3643599490326825025,"IG story",,Lifetime,51,40,1,0,0,43,,,
