Publish time,Description,Follows,Reach,Likes,Media URL,Permalink,Conversion
2024-06-25T18:43:14+0000,"Announcing our 2024-25 season! We're continuing through the canon with our 31st and 32nd productions: Pericles and Cymbeline (affectionately referred to by our team as Cymbelmeme). Join us for a high-adventure, drama-filled season with plenty of sea shanties and HIDiocy along the way!

#HamletIsntDead #SeasonAnnouncement #Shakespeare #HID #Hidiots #NYCShakespeare #NYCTheatre #Pericles #Cymbeline #Cymbelmeme",2.0,921,80.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/449137999_1137438587490654_8569225546428917524_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=cJnmOSOkdY0Q7kNvwEHsO-6&_nc_oc=AdmgpNCis-t80SBvO8Z1IqlmKBW5oA8agaKXMTTlTZbpu_8wjpg3pIxlzX7pJAfsdWMzYF7Bg0_wHTDDkVXoBqAP&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfiGAo2Af15nXHiT0vm8jihA-mgQs8v88Mpx4EbY8tAKSw&oe=69293A75,https://www.instagram.com/p/C8pi7zZvHHM/,0.002171552660152009
2024-08-26T14:00:15+0000,"We are so excited to share the incredible cast of Pericles directed by HID's Creative Director, @sophia.c.carlin. Show 'em some love in the comments below!! 💕

It’s time to go on an epic adventure. Full of everything in the sea, from feisty fisherman to pesky pirates, the story of #Pericles is one that deserves to be told… from an entirely new perspective. With their joyful and musically vibrant style, #HamletIsntDead takes this story and steers for a different course. Featuring a no boys allowed cast and original music by @sleotacarlin, Pericles asks the question, “what makes a life worth living?”

Ticket details coming soon but #SaveTheDate! This is a show you won't want to miss. 🌊⛵️🌊

#NYCShakespeare #HIDPericles #HIDiocy #NoBoysAllowed #CenterAtWestPark #CastDrop",11.0,5418,196.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/457150508_516801387654210_4103899933195028767_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=HKTC9GXmfYUQ7kNvwFA1Q0B&_nc_oc=Adk_epd-ecBp1UlFKK-_tYVSWB0raA1McCbQpXsERrCRuF0AVKRy1xHf11lFYWlvK4j9A4kKQWxYcnbMTdfMGnen&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfgYUOcLZ6gDzUvIke9lOwN3P194akesPIkvxXlZUvFD6g&oe=69294081,https://www.instagram.com/p/C_Ir4UdvIH_/,0.002030269472129937
2024-04-05T20:59:57+0000,"It's time for another #MeetAHidiot and you will probably recognize this face! Stephanie has been with Hamlet Isn’t Dead for 7 years, and she is an absolute delight to work with every single time! Don’t miss her in action- get your tickets at the link in our bio before it’s too late! We open in one week, people!!! #Zounds

#ImageDescription in comments

#Hidiots #HamletIsntDead #HID #Shakespeare #Othello #NYCActor #ClassicalActor #ClassicalTheatre #NYCTheatre #NYCShakespeare",1.0,508,36.0,https://scontent-lga3-3.cdninstagram.com/v/t51.29350-15/436333712_1639460103533176_2332424681326552414_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=uN12diLYQOsQ7kNvwG-EhlN&_nc_oc=AdnFytT0ib7VlU9Lqjr3SzAjKnkxtIsuceHNc7Jji1AN5cRa6u66YYaq-YmEIVlYUiWXdg4GVwfYFz94IBBQ9wr1&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfhMlwPZBCdPLU2ALzAh1but4nJ43JlNN5gyXAVuuqCvxA&oe=6929143F,https://www.instagram.com/p/C5ZOMNIvz8n/,0.001968503937007874
2025-03-28T14:32:09+0000,"Announcing at long last our cast of Cymbeline! We cannot wait for this Resident Acting Company showcase production and to get started with this brilliant ensemble. 

Save the date and head to the link in our bio to help sponsor this production!! #ThanksJupiter 🦅

#HamletIsntDead #Hidiots #Cymbeline #Shakespeare #ClassicalActor #TheatreKid",3.0,1732,95.0,https://scontent-lga3-3.cdninstagram.com/v/t51.29350-15/486659491_1791905891671646_404679877889777837_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=wwNPOKt10q4Q7kNvwFtVu6d&_nc_oc=Adl6aS-maBzEClu4EUxZz6Gz095CWixzCJEJ0SnWMJhf3dQQaBv1nzZMOkBPMX5bGU0PeqBF81K3xOJuGq1IIEqe&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfgyDksC_0-EqLzE3nWXX5BJ3Ad2tEankviBcCweXGuMUg&oe=692935E4,https://www.instagram.com/p/DHvxmRMucJq/,0.0017321016166281756
2025-02-25T13:37:56+0000,"✨️ Exciting News! ✨️
ShakesPreK is BACK and ready to bring the magic of Shakespeare to little ones all over NYC! 🎭
We're bringing fun & educational adventures to classrooms in all five boroughs, and introducing preschoolers to the world of the Bard through play, creativity, and imagination. 📚
Know any teachers or parents who would love ShakesPreK? Send them our way to set up a free demo class! 🎉
Check out the link in our bio for more info!

#ShakesPreK #EarlyChildhoodDevelopment #ShakespeareForKids #LearningThroughPlay",1.0,584,36.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/481590882_644499028320456_4864148808226999658_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=nXa3egwfGf0Q7kNvwE4NHDX&_nc_oc=AdlxMpXQSwbT2nGQfHE-qDIlVm-vuqnHiW0G1b4Q5o6FZjqZPi8i0tn-zDCwcynC6RkxH_957DfzH1bd05waw_wp&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfgnQLnG8JQo8jY6fkXoT3IZFPpqPXZZkE5Zu-iDM9uG3g&oe=69292440,https://www.instagram.com/p/DGf2wEtJ27R/,0.0017123287671232876
2024-09-26T12:30:48+0000,"Meet some of our stellar cast of Pericles, which opens in three weeks!!! These swashbucklers have been working hard to bring the epic tale of Pericles to life ⛵️ Head to the link in our bio for tickets!
#Pericles #HamletIsntDead #Hidiots #Shakespeare #ClassicalActor #CenterAtWestPark #NoBoysAllowed #NYCShakespeare 

Text reads, ""Cast highlight. Ellie Armitage as Gower and Band. Quote: ""Pericles is an epic about storms and shipwrecks, love and loss, and what makes a life worth living. What's not to love?""
Cast highlight. Romeo Torres as Cleon, Lysimachus, Third Knight, and Second Pirate. Quote: ""The challenge of creating four distinct characters, some with much more text to work through than others-- unreal. The ask at each rehearsal is to be both your most intelligent and most idiotic."" 
Cast highlight. Abril López as Thaisa and Diana. Quote: ""We are really taking sea la vie to a whole new level."" 
Cast highlight. Stefania Gonzalez as Understudy for Pericles and others. Quote: ""In a rehearsal room filled with laughter and play and grief and groundedness, it's easy to find answers to 'Why live a life?'""
The Center at West Park. October 17th through 26th.",2.0,1227,35.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/461317947_2980098835466093_3036733352659525189_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=iKQHPRxPrCEQ7kNvwFkcEEv&_nc_oc=AdlvTsxoVDs6CWfenQsMHk_zpmHzQsC7N8B4WQcbcQb602MFWM42_G14C88p6eAApT4m8DiNPr9SJJ5dYoa3mbGm&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_Afj2DHyma0eNvbD5l4rUscTiG6PIRLg4VfTh-hezUASoRw&oe=69292DA8,https://www.instagram.com/p/DAYWMPzPRlO/,0.0016299918500407497
2024-03-19T14:37:43+0000,"Ok, let’s address the elephant in the room. Othello is a heavy play full of racial prejudice, misogyny, and fetishization. This infographic just scratches the surface of the discussions we’ve had about race in the play so that we can be our joyful, HIDiotic selves…without making racism a joke. Thank you so much to Farah Karim Cooper for her incredible book #TheGreatWhiteBard which we consider essential reading for the modern Shakespeare artist!
#ImageDescription in comments

#Othello #Shakespeare #HamletIsntDead #HID #Hidiots #ClassicalTheatre #NYCShakespeare #NYCTheatre #NYCActor #ClassicalActor #AntiracistTheatre",1.0,639,61.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/433998207_816285323866536_2058229924481972708_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=105&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=cJR4jq_xDJIQ7kNvwEypXd_&_nc_oc=AdnMu14EC05nVpHDMy596LKUe3f4s51-LHqKaVWYhb4bix9H6Ca8MjYCcQCiZnfkf5kJblJLBjKEWVVQYr8rUvjf&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_Afio-KtivM9wSw5sUXKEoGpK1XJqSCj_6ZF_ePFbTAOfhQ&oe=6929279F,https://www.instagram.com/p/C4sw7z2utpg/,0.001564945226917058
2024-07-16T13:36:26+0000,"In Waiting Room Z, Shakespeare’s most often forgotten characters find themselves antsy, excited, and lost. It is here that the all-knowing Stage Manager sends them out into the world. However, it’s been years since these characters have been in the spotlight, and they’re beginning to grow impatient. Hamlet Isn't Dead's ""When My Cue Comes"" is a devised play that follows four of these “left-behind” characters in the canon and their desperate attempts to do whatever it takes to take their place on stage once again.

Helmed by @b.carty23 and devised and performed by @aaronanthonymoore @reidywatson @ladymaudlin @nataliedeboer.actor and @gabrielcethridge we are thrilled to bring this new production to @frigidnewyork 's Little Shakespeare Festival! See us August 2-17 and get your tickets at the link in our bio today!

#Shakespeare #DevisedTheatre #FrigidNewYork #LittleShakespeareFestival #WhenMyCueComes #NYCActor #Hamlet #Tempest #AsYouLikeIt #Hidiots",2.0,1284,33.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/451358749_1002601801076853_4263102887627237880_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiRkVFRC5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=DayZwWPScJcQ7kNvwHxLqU3&_nc_oc=AdksD9REqdosYgNwsRuV78rgSp4gpor9JE1PzCWQfA6Eal9dN5q6a45lby90DlYxOQXdQb6UT2ujaL4nQ42leJkj&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfjHCUDZMkrDY2BkFrNg7Sy7p9BYJtc2_535J-JpHYSPRQ&oe=692937B6,https://www.instagram.com/p/C9fEhB6OB0m/,0.001557632398753894
2024-04-12T21:58:06+0000,"Are you ready? Othello opens tonight!! and we couldn't be prouder of this team 💕 Come see this heartbreakingly beautiful story unfold and get ready for an evening full of great music, belly laughs (and maybe a few tears?) 
For two weeks only! Get your tickets at the link in our bio 🍓
Photos by the incomparable @taymcintyr 

#Othello #Shakespeare #OpeningNight #HamletIsntDead #Hidiots",1.0,697,62.0,https://scontent-lga3-3.cdninstagram.com/v/t51.29350-15/438377687_1194709274846225_2251957466175958169_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=108&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=mkAJn2tjNPYQ7kNvwHxqyb4&_nc_oc=AdnDMdGlZ3HlYAiVgT9D-JE782IAw4bYycOWxr-JHi2y9nEA38s87ba-myYaISH66_kRiX6snZaHiDRqvt0DYtfM&_nc_zt=23&_nc_ht=scontent-lga3-3.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfioCYyqhbxSsx9ALTbwfj9GzARWYXGg7QkZyPqi0432tQ&oe=6929262C,https://www.instagram.com/p/C5rWaOyvZMm/,0.0014347202295552368
2024-04-18T12:56:54+0000,"It's your last chance to see Hamlet Isn’t Dead’s Othello! We are so proud of this team who beautifully brought this masterpiece to life with joy, curiosity, and care. You do not want to miss this triumph! Snag your tickets at the link in our bio 🎟 Quick- we close Saturday!
Photos by the fabulous @taymcintyr 

#Othello #Shakespeare #HamletIsntDead #HID #Hidiots #ClassicalTheatre #ClassicalActor #NYC #NYCTheatre #NYCActor",1.0,700,64.0,https://scontent-lga3-2.cdninstagram.com/v/t51.29350-15/439282112_1141459103968763_2992148268986172356_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=109&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=mROPkkyL8EwQ7kNvwGw0gI8&_nc_oc=AdnhnzfVSb0nnT7W-6mI_-Z2Z5Rf-3yW93TBMTQNS7vCQ6qaaO8MpWly4G9mCMrztFqPDEo7P5hNjeHxXGiYktTo&_nc_zt=23&_nc_ht=scontent-lga3-2.cdninstagram.com&edm=AM6HXa8EAAAA&_nc_gid=kxIeYQe8v096bVlfjnK6og&oh=00_AfiBlqY0fLQPsyVP1AxDVUyte5NRLKX5GUa6ppiOWpC0BQ&oe=6929197D,https://www.instagram.com/p/C551PnfOCFK/,0.0014285714285714286
